代码,名称,涨停次数(近20日),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),3日涨跌,技术评分,综合评分,板块,所属行业
603779,威龙股份,7,43.83,13.2,11.01,9.11,7.68,1.5,0.18,↑,35,175.9,上交所,非白酒
600530,交大昂立,5,58.66,7.57,7.39,7.0,6.09,5.36,2.04,↑,60,170.2,上交所,食品加工
603316,诚邦股份,5,65.46,24.77,20.97,19.96,17.88,9.83,0.57,↑,35,137.8,上交所,基础建设
605168,三人行,4,126.98,61.76,60.87,57.8,50.59,6.65,0.94,↑,40,124.7,上交所,广告营销
605218,伟时电子,3,45.31,20.93,19.43,18.87,18.33,6.23,1.47,↑,55,122.4,上交所,光学光电
000417,合百集团,3,74.24,9.53,8.13,7.62,7.06,5.69,1.43,↑,55,122.1,深交所,一般零售
603310,巍华新材,1,34.26,17.56,17.2,16.85,16.64,6.44,6.24,↑,60,111.2,上交所,化学制品
603206,嘉环科技,2,64.18,20.05,19.01,18.26,17.58,8.8,2.94,↑,55,109.7,上交所,通信服务
603333,尚纬股份,2,62.77,10.17,9.57,9.1,8.62,9.84,2.92,↑,55,109.6,上交所,电网设备
603989,艾华集团,2,96.5,25.71,22.48,21.8,20.77,7.55,1.8,↑,60,109.0,上交所,元件
605288,凯迪股份,2,73.44,104.61,89.24,86.86,85.0,4.08,1.62,↑,60,108.1,上交所,自动化设
603726,朗迪集团,3,55.69,29.82,28.54,27.57,25.66,6.25,1.17,↓,40,105.9,上交所,家电零部
603931,格林达,3,87.95,50.8,46.98,45.42,40.13,4.61,0.81,↑,40,104.0,上交所,电子化学
000716,黑芝麻,2,40.41,5.47,5.23,5.22,5.12,3.64,1.39,↑,55,102.0,深交所,休闲食品
600400,红豆股份,2,63.24,3.11,3.02,2.91,2.63,5.39,1.22,↑,55,101.1,上交所,服装家纺
603790,雅运股份,2,61.5,32.14,29.42,27.77,25.81,2.6,1.21,↑,55,101.0,上交所,化学制品
001211,双枪科技,3,35.88,59.3,58.64,53.61,45.03,9.36,1.09,↑,35,100.5,深交所,家居用品
688323,瑞华泰,3,67.18,37.32,33.63,30.99,27.3,9.88,1.04,↑,35,100.2,科创板,塑料
603636,南威软件,3,73.18,11.77,11.55,11.3,10.16,9.57,1.01,↑,35,100.1,上交所,IT服务Ⅱ
603269,海鸥股份,3,63.05,22.02,21.71,20.27,17.75,9.89,0.99,↓,35,99.9,上交所,通用设备
600714,金瑞矿业,3,79.88,27.72,26.67,25.45,22.38,8.09,0.79,↓,35,99.0,上交所,化学原料
600831,广电网络,1,31.21,4.19,4.02,3.97,3.8,9.92,3.91,↑,55,94.5,上交所,电视广播
603999,读者传媒,1,42.91,7.2,6.89,6.83,6.78,4.98,2.78,↑,60,93.9,上交所,出版
000518,四环生物,1,35.11,3.41,3.18,3.11,3.02,4.32,2.31,↑,60,91.5,深交所,生物制品
601222,林洋能源,1,139.62,6.63,6.41,6.34,6.25,4.59,2.25,↑,60,91.3,上交所,电网设备
600847,万里股份,1,25.91,17.72,16.55,15.69,15.14,8.07,3.17,↑,55,90.9,上交所,电池
603677,奇精机械,1,32.82,16.92,16.7,16.35,16.03,5.46,4.19,↓,50,90.9,上交所,家电零部
603324,盛剑科技,1,45.25,30.64,28.28,27.26,26.71,3.43,2.1,↑,60,90.5,上交所,环保设备
300878,维康药业,1,52.17,34.6,33.84,32.4,29.69,5.35,2.06,↑,60,90.3,创业板,中药Ⅱ
000159,国际实业,1,33.12,7.06,7.0,6.69,6.61,9.82,2.99,↑,55,90.0,深交所,炼化及贸
600626,申达股份,1,46.65,4.18,4.0,3.96,3.93,3.99,1.95,↑,60,89.7,上交所,汽车零部
600996,贵广网络,1,113.46,9.17,8.89,8.75,8.65,5.58,1.89,↑,60,89.5,上交所,电视广播
603163,圣晖集成,1,122.08,128.21,115.76,109.91,106.87,5.65,1.91,↑,60,89.5,上交所,专业工程
688419,耐科装备,1,63.16,57.53,49.72,47.69,46.42,6.55,1.74,↑,60,88.7,科创板,半导体
603125,常青科技,1,86.96,28.18,26.74,25.31,22.92,3.72,1.73,↑,60,88.6,上交所,化学制品
603823,百合花,1,95.72,23.59,21.79,20.07,18.24,4.93,1.67,↑,60,88.4,上交所,化学制品
603859,能科科技,1,110.9,46.34,43.59,42.59,41.4,9.99,2.64,↑,55,88.2,上交所,IT服务Ⅱ
603380,易德龙,1,69.15,43.08,39.88,38.86,37.55,5.31,1.64,↑,60,88.2,上交所,消费电子
603023,威帝股份,1,29.58,5.15,5.05,4.96,4.71,4.31,1.6,↑,60,88.0,上交所,汽车零部
601929,吉视传媒,1,116.21,3.15,3.06,3.05,3.0,9.26,2.56,↑,55,87.8,上交所,电视广播
688697,纽威数控,1,110.58,24.05,23.28,22.05,19.42,6.77,1.52,↑,60,87.6,科创板,通用设备
603108,润达医疗,1,90.98,15.46,14.05,13.84,13.73,9.91,2.48,↑,55,87.4,上交所,医疗服务
600992,贵绳股份,2,31.86,12.55,12.44,12.34,12.13,9.65,1.4,↓,40,87.0,上交所,通用设备
