代码,名称,涨停次数(近20日),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),当前涨跌幅,3日涨跌,技术评分,综合评分,板块,所属行业
600530,交大昂立,6,58.66,7.57,7.39,7.0,6.09,5.36,2.04,+10.03%,↑,60,190.2,上交所,食品加工
603316,诚邦股份,6,65.46,24.77,20.97,19.96,17.88,9.83,0.57,+9.99%,↑,35,157.8,上交所,基础建设
000417,合百集团,4,74.24,9.53,8.13,7.62,7.06,5.69,1.43,+10.05%,↑,55,142.1,深交所,一般零售
601133,柏诚股份,4,174.62,33.3,29.67,27.74,25.53,6.79,1.13,+10.01%,↑,40,125.6,上交所,专业工程
605168,三人行,4,126.98,61.76,60.87,57.8,50.59,6.65,0.94,+0.42%,↑,40,124.7,上交所,广告营销
688323,瑞华泰,4,67.18,37.32,33.63,30.99,27.3,9.88,1.04,+20.00%,↑,35,120.2,科创板,塑料
600850,电科数字,2,153.11,22.5,20.64,20.31,20.22,6.39,2.55,-0.04%,↑,60,112.8,上交所,IT服务Ⅱ
603206,嘉环科技,2,64.18,20.05,19.01,18.26,17.58,8.8,2.94,-4.66%,↑,55,109.7,上交所,通信服务
603333,尚纬股份,2,62.77,10.17,9.57,9.1,8.62,9.84,2.92,+0.69%,↑,55,109.6,上交所,电网设备
603989,艾华集团,2,96.5,25.71,22.48,21.8,20.77,7.55,1.8,+6.24%,↑,60,109.0,上交所,元件
603203,快克智能,2,153.3,62.42,62.31,57.72,52.22,5.64,1.64,+5.62%,↑,60,108.2,上交所,自动化设
000672,上峰水泥,3,183.22,18.59,17.92,16.84,15.22,5.68,1.18,+2.42%,↓,40,105.9,深交所,水泥
603726,朗迪集团,3,55.69,29.82,28.54,27.57,25.66,6.25,1.17,+4.16%,↓,40,105.9,上交所,家电零部
000859,国风新材,2,94.34,10.53,9.63,9.48,9.41,9.12,2.15,+10.03%,↑,55,105.7,深交所,塑料
600400,红豆股份,2,63.24,3.11,3.02,2.91,2.63,5.39,1.22,+1.63%,↑,55,101.1,上交所,服装家纺
603636,南威软件,3,73.18,11.77,11.55,11.3,10.16,9.57,1.01,-6.66%,↑,35,100.1,上交所,IT服务Ⅱ
603186,华正新材,3,178.73,113.99,105.02,98.95,87.52,9.97,1.0,+10.00%,↑,35,100.0,上交所,元件
603269,海鸥股份,3,63.05,22.02,21.71,20.27,17.75,9.89,0.99,+1.80%,↓,35,99.9,上交所,通用设备
688584,上海合晶,3,110.41,32.16,27.23,27.0,24.03,8.3,0.88,+20.00%,↑,35,99.4,科创板,半导体
600714,金瑞矿业,3,79.88,27.72,26.67,25.45,22.38,8.09,0.79,+0.65%,↓,35,99.0,上交所,化学原料
000685,中山公用,1,152.73,12.48,11.99,11.79,11.68,6.97,3.25,-3.26%,↑,60,96.2,深交所,环境治理
603505,金石资源,1,171.45,22.03,20.83,19.84,18.94,7.69,3.01,+2.18%,↑,60,95.1,上交所,化学制品
300878,维康药业,1,52.17,34.6,33.84,32.4,29.69,5.35,2.06,+2.22%,↑,60,90.3,创业板,中药Ⅱ
600996,贵广网络,1,113.46,9.17,8.89,8.75,8.65,5.58,1.89,-4.08%,↑,60,89.5,上交所,电视广播
603163,圣晖集成,1,122.08,128.21,115.76,109.91,106.87,5.65,1.91,+5.02%,↑,60,89.5,上交所,专业工程
688419,耐科装备,1,63.16,57.53,49.72,47.69,46.42,6.55,1.74,+4.33%,↑,60,88.7,科创板,半导体
603859,能科科技,1,110.9,46.34,43.59,42.59,41.4,9.99,2.64,+2.30%,↑,55,88.2,上交所,IT服务Ⅱ
603380,易德龙,1,69.15,43.08,39.88,38.86,37.55,5.31,1.64,-0.05%,↑,60,88.2,上交所,消费电子
601929,吉视传媒,1,116.21,3.15,3.06,3.05,3.0,9.26,2.56,-5.41%,↑,55,87.8,上交所,电视广播
688697,纽威数控,1,110.58,24.05,23.28,22.05,19.42,6.77,1.52,-3.95%,↑,60,87.6,科创板,通用设备
603108,润达医疗,1,90.98,15.46,14.05,13.84,13.73,9.91,2.48,+2.59%,↑,55,87.4,上交所,医疗服务
688069,德林海,2,63.46,67.79,62.19,58.78,48.37,6.37,0.71,+4.61%,↑,40,83.5,科创板,环境治理
603358,华达科技,1,172.24,38.29,36.71,35.82,35.16,5.28,1.32,+1.89%,↑,55,81.6,上交所,汽车零部
601609,金田股份,1,197.24,14.4,13.53,12.46,11.5,7.3,1.26,+6.27%,↑,55,81.3,上交所,工业金属
688260,昀冢科技,2,70.93,58.23,53.26,50.28,41.53,9.43,0.89,-1.49%,↑,35,79.5,科创板,消费电子
600078,澄星股份,2,107.54,15.63,15.54,15.23,14.09,8.26,0.76,-1.45%,↓,35,78.8,上交所,农化制品
688003,天准科技,1,180.99,100.29,98.92,90.07,80.46,5.32,1.7,-2.92%,↓,50,78.5,科创板,自动化设
600353,旭光电子,1,192.53,23.91,22.09,20.44,18.79,8.15,1.48,+2.93%,↑,50,77.4,上交所,其他电子
000600,建投能源,1,118.6,10.16,10.12,10.05,9.73,8.04,1.33,-6.62%,↑,50,76.6,深交所,电力
300004,南风股份,1,77.85,16.76,16.37,15.48,14.56,9.48,1.27,-1.18%,↑,50,76.4,创业板,专用设备
688381,帝奥微,1,87.14,42.28,38.47,36.26,33.2,9.25,1.2,+3.88%,↑,50,76.0,科创板,半导体
603767,中马传动,1,66.79,22.13,21.82,20.97,20.04,8.91,2.06,-3.87%,↓,45,75.3,上交所,汽车零部
000551,创元科技,1,76.36,17.74,17.26,17.16,16.11,5.3,1.14,+0.85%,↑,40,65.7,深交所,环保设备
603002,宏昌电子,1,173.74,15.66,15.59,15.52,14.82,5.89,1.1,-1.07%,↑,40,65.5,上交所,电子化学
688610,埃科光电,1,67.42,165.0,146.89,141.15,130.37,7.26,1.03,+0.18%,↑,40,65.2,科创板,通用设备
600184,光电股份,1,158.97,28.2,27.98,27.41,25.51,7.21,0.9,+4.48%,↑,40,64.5,上交所,地面兵装
000026,飞亚达,1,81.01,21.8,20.94,20.42,19.24,5.48,0.83,-1.89%,↑,40,64.2,深交所,饰品
300652,雷迪克,1,56.65,47.8,47.59,47.2,44.63,5.24,0.76,-2.21%,↓,40,63.8,创业板,汽车零部
688699,明微电子,1,61.01,70.55,65.34,65.12,56.65,6.79,0.72,+7.45%,↑,40,63.6,科创板,半导体
603978,深圳新星,1,62.55,32.99,32.73,31.65,28.92,7.39,0.64,+2.90%,↓,40,63.2,上交所,金属新材
000620,盈新发展,1,143.89,3.28,3.27,3.19,3.0,9.37,1.04,-1.50%,↓,35,60.2,深交所,房地产开
603757,大元泵业,1,112.77,66.5,62.15,60.23,56.26,9.32,1.0,+4.46%,↑,35,60.0,上交所,通用设备
