代码,名称,涨停次数(近20日),连板天数,首次涨停距今(天),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),当前涨跌幅,3日涨跌幅,20日涨跌幅,技术评分,综合评分,板块,所属行业,板块热度加分
600635,大众公用,2,2,1,145.85,6.03,5.63,5.46,5.4,5.98,2.6,+10.04%,+6.91%,+12.08%,60,136.0,上交所,燃气Ⅱ,5
605580,恒盛能源,2,2,3,68.07,25.9,22.7,22.33,22.09,6.56,2.03,+6.54%,+17.19%,+14.35%,60,135.3,上交所,电力,10
000509,华塑控股,4,3,14,50.87,4.74,4.12,4.0,3.85,8.05,1.8,+9.98%,+20.92%,+28.11%,55,128.0,深交所,光学光电,5
000536,华映科技,1,1,4,118.54,4.6,4.31,4.15,4.08,8.32,4.58,+4.78%,+5.02%,+7.98%,55,123.8,深交所,光学光电,5
600850,电科数字,2,2,7,153.11,22.85,22.04,21.08,20.48,5.15,1.97,+5.74%,+5.30%,+11.41%,60,122.7,上交所,IT服务Ⅱ,5
600520,三佳科技,3,3,2,58.33,36.82,32.6,31.55,30.74,6.88,1.12,+10.01%,+21.00%,+32.40%,40,116.2,上交所,专用设备,10
001331,胜通能源,3,2,12,133.71,67.83,61.86,58.7,53.49,6.16,1.71,+10.01%,+10.26%,+33.10%,60,112.1,深交所,燃气Ⅱ,5
605488,福莱新材,1,1,6,106.39,40.96,39.43,37.54,35.94,7.39,2.66,+2.35%,+0.20%,+19.77%,60,109.6,上交所,塑料,5
603678,火炬电子,1,1,3,179.19,40.64,37.45,35.4,34.54,9.58,2.76,+2.89%,+7.86%,+16.71%,55,107.6,上交所,军工电子,0
600376,首开股份,1,1,2,123.05,5.02,4.6,4.58,4.58,9.95,2.42,+5.24%,+15.67%,+2.87%,55,104.2,上交所,房地产开,0
600592,龙溪股份,1,1,2,84.95,21.98,20.22,19.96,19.73,7.08,1.87,+3.39%,+13.71%,+8.60%,60,103.7,上交所,通用设备,0
603223,恒通股份,1,1,3,75.52,11.58,10.64,9.98,9.56,5.01,2.71,+2.30%,+8.22%,+31.14%,60,102.1,上交所,炼化及贸,0
688419,耐科装备,1,1,6,63.16,60.5,59.34,53.5,48.78,7.2,1.86,-5.19%,+0.10%,+22.72%,60,96.6,科创板,半导体,0
603012,创力集团,1,1,13,61.74,9.9,9.78,9.52,9.28,5.42,1.57,-4.07%,+1.64%,+12.50%,60,95.7,上交所,专用设备,10
000600,建投能源,1,1,6,118.6,10.48,10.24,10.17,9.9,6.17,1.23,+1.95%,+3.46%,+11.25%,55,95.3,深交所,电力,10
603859,能科科技,1,1,7,110.9,46.17,46.1,44.33,42.35,6.77,1.23,-2.29%,+0.17%,+16.33%,55,90.3,上交所,IT服务Ⅱ,5
603693,江苏新能,1,1,7,146.47,17.87,17.35,16.78,16.11,5.41,1.42,-2.77%,+1.02%,+26.65%,55,87.2,上交所,电力,10
300258,精锻科技,1,1,13,80.13,14.76,14.27,13.87,12.97,9.17,1.45,-2.19%,+5.58%,+14.24%,50,79.5,创业板,汽车零部,5
600207,安彩高科,1,1,14,67.86,7.1,6.74,6.67,6.33,7.47,1.41,+3.65%,+5.50%,+24.56%,55,79.1,上交所,光伏设备,0
600784,鲁银投资,1,1,8,52.7,8.7,8.13,7.86,7.66,5.59,1.31,+7.14%,+11.11%,+16.78%,55,78.1,上交所,化学原料,0
603726,朗迪集团,1,1,7,55.69,30.45,29.63,28.8,26.85,6.53,1.45,+1.30%,+5.00%,+27.62%,55,77.5,上交所,家电零部,0
603867,新化股份,1,1,3,90.91,41.0,40.46,39.43,37.29,6.3,1.06,-2.54%,-2.73%,+22.83%,40,75.6,上交所,化学制品,0
600382,广东明珠,1,1,4,61.52,8.98,8.93,8.75,8.62,7.19,1.24,-2.39%,-6.07%,-11.44%,45,75.4,上交所,冶钢原料,0
300652,雷迪克,1,1,15,56.65,52.38,49.81,48.56,46.04,6.64,1.19,+0.54%,+6.29%,+20.30%,40,66.9,创业板,汽车零部,5
300004,南风股份,1,1,11,77.85,16.36,16.35,16.28,14.98,7.97,0.68,-4.33%,+1.30%,+14.97%,40,66.8,创业板,专用设备,10
001359,平安电工,1,1,11,50.33,105.9,103.84,103.82,97.45,5.73,0.67,-2.92%,+1.27%,+29.95%,40,51.7,深交所,塑料,5
000697,炼石航空,1,1,14,76.81,12.74,12.29,12.24,11.61,5.3,0.88,-2.45%,+5.73%,+25.15%,40,48.8,深交所,航空装备,0
603002,宏昌电子,1,1,14,173.74,16.98,16.11,15.91,15.32,7.32,0.81,+2.78%,+4.24%,+31.22%,40,48.1,上交所,电子化学,0
601609,金田股份,1,1,12,197.24,13.82,13.81,13.49,12.05,5.44,0.77,+0.73%,-0.36%,+28.80%,40,47.7,上交所,工业金属,0
