代码,名称,综合评分,涨停次数(近20日),连板天数,首次涨停距今(天),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),当前涨跌幅,3日涨跌幅,20日涨跌幅,技术评分,板块,所属行业,板块热度加分
605580,恒盛能源,115.3,4,1,8,79.18,28.28,27.94,25.77,23.85,7.48,1.53,+10.00%,+3.74%,+28.20%,60,上交所,电力,10
000899,赣能股份,106.4,1,1,11,139.52,15.01,14.39,13.67,13.61,6.44,2.64,+4.60%,+3.37%,+14.76%,60,深交所,电力,10
600459,贵研铂业,105.0,2,1,4,178.15,24.2,22.59,21.53,21.11,8.24,2.2,+3.20%,+13.51%,+16.29%,55,上交所,小金属,0
000799,酒鬼酒,101.0,1,1,3,148.61,46.29,44.92,43.03,42.89,8.69,2.1,+1.29%,+2.19%,+10.06%,55,深交所,白酒Ⅱ,0
600255,鑫科材料,96.2,2,2,1,79.29,4.39,3.86,3.75,3.7,6.23,1.12,+10.03%,+20.94%,+19.95%,40,上交所,金属新材,0
000966,长源电力,95.5,1,1,7,169.93,5.42,5.32,5.16,5.03,5.66,1.25,+4.03%,+1.69%,+18.08%,55,深交所,电力,10
600063,皖维高新,94.3,1,1,4,143.8,7.13,7.12,6.75,6.62,8.26,3.13,-3.26%,-0.28%,+1.13%,45,上交所,化学纤维,0
600596,新安股份,81.2,3,1,8,194.34,14.4,13.06,12.94,12.54,6.14,1.12,+10.01%,+8.60%,+15.11%,40,上交所,农化制品,0
603386,骏亚科技,75.0,1,1,13,55.21,17.04,16.49,16.22,15.99,8.76,1.5,-0.35%,+2.10%,+18.42%,50,上交所,元件,0
001258,立新能源,68.7,1,1,12,95.85,11.09,10.64,10.44,10.08,6.67,0.87,+4.62%,+3.26%,+22.14%,40,深交所,电力,10
605566,福莱蒽特,65.7,2,1,7,55.67,41.0,40.02,39.58,37.37,7.71,0.77,-2.38%,-1.80%,+26.23%,40,上交所,化学制品,0
