代码,名称,涨停次数(近20日),流通市值(亿),最新价,MA5,MA10,MA20,换手率,量比(近5日),3日涨跌,技术评分,综合评分,板块,所属行业
001259,利仁科技,8,34.81,73.21,61.05,50.23,41.33,7.24,0.92,↑,40,204.6,深交所,小家电
600903,贵州燃气,5,111.44,9.69,8.23,7.32,6.84,8.63,9.64,↑,55,203.2,上交所,燃气Ⅱ
603779,威龙股份,7,39.85,12.0,10.01,8.42,7.33,1.52,0.18,↑,35,175.9,上交所,非白酒
603636,南威软件,4,73.18,12.61,11.54,11.04,10.04,8.23,1.25,↑,50,136.2,上交所,IT服务Ⅱ
603333,尚纬股份,3,62.77,10.1,9.34,8.94,8.5,7.91,2.42,↑,60,132.1,上交所,电网设备
600936,北投科技,4,97.59,5.84,5.47,5.17,4.61,5.72,0.97,↑,40,124.9,上交所,IT服务Ⅱ
605168,三人行,4,126.98,61.5,60.56,56.38,49.4,6.51,0.87,↑,40,124.4,上交所,广告营销
605218,伟时电子,4,45.31,21.29,18.89,18.43,18.22,3.23,0.79,↑,40,124.0,上交所,光学光电
603206,嘉环科技,3,64.18,21.03,18.55,17.98,17.45,3.88,1.49,↑,55,122.5,上交所,通信服务
000417,合百集团,3,67.46,8.66,7.67,7.34,6.92,3.52,1.4,↑,55,122.0,深交所,一般零售
603989,艾华集团,3,96.5,24.2,21.53,21.26,20.46,4.53,1.24,↑,55,121.2,上交所,元件
688360,德马科技,2,61.0,24.18,20.59,20.04,19.21,6.62,2.74,↑,60,113.7,科创板,通用设备
600831,广电网络,2,31.21,4.39,3.96,3.94,3.77,6.82,2.66,↑,60,113.3,上交所,电视广播
603999,读者传媒,2,42.91,7.45,6.8,6.79,6.76,3.41,1.83,↑,60,109.1,上交所,出版
601929,吉视传媒,2,116.21,3.33,3.04,3.03,2.99,6.4,1.78,↑,60,108.9,上交所,电视广播
000006,深振业Ａ,2,144.31,11.14,10.37,10.02,9.81,4.33,1.73,↑,60,108.7,深交所,房地产开
601222,林洋能源,2,139.62,6.84,6.36,6.3,6.23,2.72,1.74,↑,60,108.7,上交所,电网设备
